image_id,caption
0106b2ae-00000000.jpg,"Several vehicles are on a straight road, with a silver sedan in the left lane. A few cars are ahead in the right and center lanes. The traffic light is green. A cyclist is on the right sidewalk. Buildings and a bike route sign are visible to the right. It's cloudy and appears to be daytime."
012a9c41-edad898c.jpg,"Several vehicles are parked in rows in a parking lot. There's a black SUV and a silver sedan in front, with various other cars around. No pedestrians are visible. The sky is clear, indicating day time. A banner on the left reads, ""A Whole Ne…"". No traffic lights or road signs are present."
0339a42b-1e7552b0.jpg,A black sedan is parked on the right. Other vehicles are parked along the left. No pedestrians are visible. Traffic signs indicate construction. The road is straight. Buildings in the distance. Weather is clear and it's daytime.
056c5701-175a265c.jpg,"A silver SUV in the center lane, a black sedan ahead. Vehicles parked on the right. No congestion. One pedestrian on the right sidewalk, not crossing. Traffic lights are green. It's a straight road with intersections. Buildings on both sides, no names visible. Weather is clear, daytime."
05e36850-efef8502.jpg,A white van is directly ahead. A red car is to the right. A silver vehicle is on the left side. The traffic light ahead is green. The road is an intersection. It’s daytime with clear weather. No pedestrians are visible.
07d1d738-80e12d1e.jpg,"Multiple vehicles on a straight highway. A white sedan is ahead in the center lane, and a truck is on its left. Traffic is moderate. No pedestrians. Visible sign for Hopyard Rd and Dougherty Rd. No traffic lights. Buildings are on the far right. Weather is clear and sunny. Time is daytime."
07f58d35-3b247fbf.jpg,"A black SUV is in the right lane, while a sedan is ahead in the center lane. Traffic includes a bus coming from the opposite direction. Cars are parked on both sides of the road. No pedestrians are visible. No traffic lights or signs are in view. The road is straight with residential buildings on each side. The weather is clear, and the time is day."
0977bc8b-ee7159d4.jpg,"A black SUV is parked on the right. A lime green sedan is ahead on the left. Traffic is light. Two pedestrians are crossing. The traffic light is red. It's a straight road. ""Urgent Care"" is on the right. The weather is clear, and it’s daytime."
0ad051b9-9a513e8a.jpg,"A gray sedan is ahead. A white van is further in front. A dark van and other cars are on the opposite side. No pedestrians are visible. It's a straight road with buildings on both sides. No traffic lights visible. Weather is clear, daytime."
0e31726a-00000000.jpg,"A white pickup is ahead, center lane. A white truck is to the right. Vehicles are stopped, traffic is congested. One pedestrian on left sidewalk, not crossing. The traffic light is green. The road is straight. Trees line the street. The weather is cloudy, daytime."
0f00789b-d70124c2.jpg,A black SUV is in the right lane ahead. A red sedan and white truck are parked on the left. One pedestrian is on the right sidewalk. The road is straight and two lanes. Trees line the sides. The weather is clear and sunny.
0f1c1335-f2117479.jpg,"A beige SUV is directly ahead in the center lane. A silver sedan is to the right, slightly ahead. A black convertible is on the left. Traffic light is green. No pedestrians visible. The road is an intersection with light traffic. ""Church of Scientology"" is on the right. It's overcast, daytime."
10f69148-a703b7a1.jpg,"Three vehicles are stopped at an intersection, a white truck in front, a sedan to its right. Traffic is moderate. No pedestrians visible. Traffic light is green. Signs indicate speed limit and no left turn. Surrounding buildings include ""Village Bottle"" on the left. It's clear and daytime."
1189ae68-474270b3.jpg,"Several vehicles are in traffic on a multi-lane road. A silver sedan is centered in the lane ahead. SUVs and sedans are visible in adjacent lanes. Traffic appears congested. No pedestrians are visible. No traffic lights or signs are present. Buildings are on the left, with trees on the right. The weather is clear, daytime."
